listing_id,old_price,new_price,changed_at
10543,2.23,2.24,2026-08-29T04:55:24.453004+00:00
10521,2.23,2.24,2026-08-29T04:55:33.728175+00:00
10559,3.72,3.73,2026-08-29T04:55:33.728175+00:00
10575,2.23,2.24,2026-08-29T04:55:33.728175+00:00
10571,3.72,3.73,2026-08-29T04:55:33.728175+00:00
10918,2.00,1.50,2026-08-29T04:55:42.072804+00:00
10623,3.72,3.73,2026-08-29T04:55:42.072804+00:00
10635,3.72,3.73,2026-08-29T04:55:42.072804+00:00
10718,3.72,3.73,2026-08-29T04:55:51.072189+00:00
10769,7.44,7.46,2026-08-29T04:55:51.072189+00:00
10815,10.42,10.44,2026-08-29T04:55:51.072189+00:00
10781,2.23,2.24,2026-08-29T04:55:51.072189+00:00
11158,9.00,8.00,2026-08-29T04:55:58.904697+00:00
11232,28.00,26.99,2026-08-29T04:56:04.582295+00:00
11247,20.00,17.00,2026-08-29T04:56:13.446374+00:00
17004,22.00,20.00,2026-08-29T04:56:13.446374+00:00
11215,5.00,2.00,2026-08-29T04:56:13.446374+00:00
11212,20.00,18.00,2026-08-29T04:56:13.446374+00:00
11344,12.00,10.50,2026-08-29T04:56:22.498202+00:00
11190,19.99,16.99,2026-08-29T04:56:22.498202+00:00
11209,8.00,6.00,2026-08-29T04:56:30.499351+00:00
11278,25.00,23.50,2026-08-29T04:56:30.499351+00:00
11296,30.00,25.00,2026-08-29T04:56:30.499351+00:00
17041,14.00,13.00,2026-08-29T04:56:30.499351+00:00
17051,19.00,17.00,2026-08-29T04:56:39.374613+00:00
11371,10.00,7.00,2026-08-29T04:56:39.374613+00:00
11419,80.00,65.00,2026-08-29T04:56:48.834399+00:00
11484,4.00,5.00,2026-08-29T04:57:15.157394+00:00
17140,4.00,6.00,2026-08-29T04:57:15.157394+00:00
11958,11.50,11.00,2026-08-29T04:57:23.076897+00:00
12035,20.00,19.00,2026-08-29T04:57:23.076897+00:00
12137,11.00,9.99,2026-08-29T04:57:30.914180+00:00
12221,55.00,45.00,2026-08-29T04:57:46.547495+00:00
12426,25.00,20.00,2026-08-29T04:57:59.980075+00:00
17371,30.00,26.00,2026-08-29T04:57:59.980075+00:00
17523,13.00,11.00,2026-08-29T04:58:14.306423+00:00
12465,40.00,30.00,2026-08-29T04:58:14.306423+00:00
17481,25.00,23.00,2026-08-29T04:58:14.306423+00:00
13282,7.00,6.00,2026-08-29T04:58:39.583756+00:00
17641,10.00,8.50,2026-08-29T04:58:39.583756+00:00
13344,20.00,15.00,2026-08-29T04:58:46.000936+00:00
13927,8.00,7.00,2026-08-29T04:59:10.974995+00:00
17924,5.50,6.50,2026-08-29T04:59:16.585773+00:00
13975,10.00,7.00,2026-08-29T11:55:36.359489+00:00
216,14.00,12.00,2026-08-29T11:55:36.359489+00:00
301,28.00,26.00,2026-08-29T11:55:47.473346+00:00
155,31.96,29.99,2026-08-29T11:55:47.473346+00:00
68,15.00,7.00,2026-08-29T11:55:54.439488+00:00
60,31.96,29.99,2026-08-29T11:56:04.651459+00:00
14004,11.00,8.00,2026-08-29T11:56:11.022656+00:00
92,12.00,10.00,2026-08-29T11:56:18.464652+00:00
125,5.00,4.50,2026-08-29T11:56:18.464652+00:00
86,23.00,21.50,2026-08-29T11:56:18.464652+00:00
112,28.00,24.00,2026-08-29T11:56:18.464652+00:00
281,5.00,4.00,2026-08-29T11:56:18.464652+00:00
13981,63.00,60.00,2026-08-29T11:56:34.283785+00:00
102,75.00,70.00,2026-08-29T11:56:41.842781+00:00
58,22.00,18.00,2026-08-29T11:56:41.842781+00:00
1198,20.00,15.00,2026-08-29T11:57:04.004439+00:00
14369,5.21,5.22,2026-08-29T11:57:04.004439+00:00
14418,15.00,20.00,2026-08-29T11:57:13.993445+00:00
1100,20.00,17.50,2026-08-29T11:57:29.473103+00:00
14167,60.00,55.00,2026-08-29T11:57:29.473103+00:00
1165,14.00,8.00,2026-08-29T11:57:29.473103+00:00
14412,3.72,3.73,2026-08-29T11:57:29.473103+00:00
1101,18.99,17.99,2026-08-29T11:57:36.862381+00:00
1175,10.00,8.00,2026-08-29T11:57:54.961172+00:00
1154,18.00,16.00,2026-08-29T11:58:03.441500+00:00
1752,5.00,10.00,2026-08-29T11:58:03.441500+00:00
18376,12.50,10.00,2026-08-29T11:58:03.441500+00:00
1187,12.00,11.50,2026-08-29T11:58:11.152949+00:00
2022,12.00,10.00,2026-08-29T11:58:19.581986+00:00
2016,8.45,8.25,2026-08-29T11:58:26.576009+00:00
18768,15.00,20.00,2026-08-29T11:58:26.576009+00:00
2019,15.00,8.00,2026-08-29T11:58:26.576009+00:00
2058,20.00,18.00,2026-08-29T11:58:33.092971+00:00
2036,10.00,8.00,2026-08-29T11:58:33.092971+00:00
2771,12.00,11.00,2026-08-29T11:58:43.818303+00:00
2093,12.50,11.50,2026-08-29T11:58:51.821693+00:00
14451,11.00,9.00,2026-08-29T11:58:59.632331+00:00
2660,3.00,10.00,2026-08-29T11:59:06.966707+00:00
2793,1.00,3.00,2026-08-29T11:59:13.580015+00:00
2121,13.00,9.50,2026-08-29T11:59:13.580015+00:00
2169,15.00,13.00,2026-08-29T11:59:21.963422+00:00
2273,12.00,8.00,2026-08-29T11:59:29.011399+00:00
2189,12.00,10.00,2026-08-29T11:59:29.011399+00:00
2934,6.00,5.00,2026-08-29T11:59:37.931732+00:00
2938,20.00,15.00,2026-08-29T11:59:37.931732+00:00
3025,12.00,11.00,2026-08-29T12:00:01.247536+00:00
18838,6.00,5.00,2026-08-29T12:00:09.540707+00:00
3237,12.99,11.99,2026-08-29T12:00:26.213468+00:00
18869,7.95,6.95,2026-08-29T12:00:26.213468+00:00
19045,10.00,9.50,2026-08-29T12:01:02.945350+00:00
4724,9.00,8.00,2026-08-29T12:01:02.945350+00:00
4712,5.00,4.50,2026-08-29T12:01:11.189710+00:00
